Scale,Internal consistency,Test-retest reliability,Factor structure,Measurement invariance,Overall scale evaluation
Balanced Inventory of Desirable Responding,Good,-,Mixed,Poor,Questionable
Balanced Inventory of Desirable Responding - Impression Management,Good,Good,Mixed,Poor,Questionable
Balanced Inventory of Desirable Responding - Self Deception,Good,Good,Poor,Poor,Questionable
Bayesian Racism,Good,Good,Good,Good,Good
Belief in a Just World: General Just World Scale,Good,Good,Good,Poor,Questionable
Big 5 Inventory,Good,-,Mixed,Good,Good
"Big 5 Inventory - A,O",Good,Good,Mixed,Good,Good
"Big 5 Inventory - E,C,N",Good,Good,Poor,Poor,Questionable
Humanitarianism-Egalitarianism,Good,Good,Good,Good,Good
Intuitions about Controllability and Awareness of Thoughts,Good,-,Poor,Good,Questionable
Intuitions about Controllability and Awareness of Thoughts - Others,Good,Good,Poor,Poor,Questionable
Intuitions about Controllability and Awareness of Thoughts - Self,Good,Good,Poor,Poor,Questionable
Need for Cognition,Good,Good,Good,Good,Good
Need for Cognitive Closure,Good,-,Mixed,Good,Good
"Need for Cognitive Closure - O,A",Good,Good,Mixed,Good,Good
"Need for Cognitive Closure - P,D,CM",Good,Good,Poor,Poor,Questionable
Personal Need for Structure,Good,Good,Mixed,Good,Good
Protestant Ethic,Good,Good,Mixed,Good,Good
Ring-Wing Authoritarianism,Good,Good,Mixed,Good,Good
Rosenberg Self-Esteem,Good,Good,Good,Good,Good
Self-Monitoring,Good,Good,Poor,Poor,Questionable
Social Dominance Orientation,Good,Good,Poor,Poor,Questionable
Spheres of Control,Good,-,Mixed,Poor,Questionable
Spheres of Control - Interpersonal Control,Good,Good,Good,Good,Good
Spheres of Control - Personal Efficacy,Poor,Good,Poor,Poor,Questionable
Summary (combined full scales),100%,100%,80%,67%,60%
Summary (split scales),90%,100%,40%,30%,30%
